Vnum	Name	Rank	Type	BattleType	Level	ScalePct	Size	AiFlags	MountCapacity	RaceFlags	ImmuneFlags	Empire	Folder	OnClick	St	Dx	Ht	Iq	MinDamage	MaxDamage	MaxHp	RegenCycle	RegenPercent	MinGold	MaxGold	Exp	Def	AttackSpeed	MoveSpeed	AggressiveHpPct	AggressiveSight	AttackRange	DropItemGroup	ResurrectionVnum	EnchantCurse	EnchantSlow	EnchantPoison	EnchantStun	EnchantCritical	EnchantPenetrate	ResistSword	ResistTwoHanded	ResistDagger	ResistBell	ResistFan	ResistBow	ResistFire	ResistElect	ResistMagic	ResistWind	ResistPoison	ResistBleeding	DamMultiply	SummonVnum	DrainSp	MobColor	PolymorphItem	SkillLevel0	SkillVnum0	SkillLevel1	SkillVnum1	SkillLevel2	SkillVnum2	SkillLevel3	SkillVnum3	SkillLevel4	SkillVnum4	SpBerserk	SpStoneskin	SpGodspeed	SpDeathblow	SpRevive	Unknown
101	??	PAWN	MONSTER	MELEE	1	100			0	ANIMAL		0	0	0	3	6	5	2	20	24	126	6	7	0	0	15	4	100	100	0	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	stray_dog	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	??	PAWN	MONSTER	MELEE	3	100			30028	ANIMAL		0	0	0	4	9	7	2	23	28	162	6	7	0	0	39	6	100	100	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wolf	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	????	PAWN	MONSTER	MELEE	4	100			30069	ANIMAL		0	0	0	8	5	10	3	25	30	182	6	7	0	0	51	7	100	130	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wolf	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	????	PAWN	MONSTER	MELEE	6	100			0	ANIMAL		0	0	0	9	12	6	3	25	38	225	6	7	0	0	75	9	100	100	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wolf	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	?? ????	PAWN	MONSTER	MELEE	9	100			30027	ANIMAL		0	0	0	14	8	16	4	33	41	297	6	7	0	0	111	13	80	100	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wolf	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	????	PAWN	MONSTER	MELEE	13	100			30070	ANIMAL		0	0	0	21	21	10	5	40	49	412	6	7	0	0	159	17	100	100	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	wolf	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	?? ????	S_PAWN	MONSTER	MELEE	16	100			0	ANIMAL		0	0	0	23	24	12	6	45	55	614	6	12	0	0	234	20	80	130	25	2000	175	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	wolf	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	???	PAWN	MONSTER	MELEE	7	100			30004	ANIMAL		0	0	0	14	7	10	3	30	37	248	6	7	0	0	87	11	80	100	30	2000	175	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	wild_boar	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	?? ???	S_PAWN	MONSTER	MELEE	10	100			30003	ANIMAL		0	0	0	22	9	13	4	35	43	389	3	7	0	0	148	14	80	100	30	2000	175	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	wild_boar	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	?	PAWN	MONSTER	POWER	12	100			30010	ANIMAL		0	0	0	20	10	20	5	39	47	381	6	7	0	0	147	16	100	70	40	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	bear	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111	???	S_PAWN	MONSTER	TANKER	15	100			30071	ANIMAL		0	0	0	14	17	34	6	44	53	572	6	7	0	0	220	19	100	100	40	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	bear	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	???	PAWN	MONSTER	POWER	19	100			30053	ANIMAL		0	0	0	36	14	21	7	50	62	624	6	7	0	0	385	24	100	100	40	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	bear	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
